SURVEY:  PS1MD
SNID:  PSc530302
IAUC:    UNKNOWN
RA:        242.1782000  deg
DECL:       54.0967833  deg
MWEBV: 0.0068 +- 0.0014 MW E(B-V)
REDSHIFT_FINAL:  0.3380 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 10.2090 +- 0.3650
SEARCH_PEAKMJD: 56482.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc530302.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: dsp055

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55763.3 z NULL  -0.333 16.031 nan -52.252
OBS: 55766.3 z NULL  7.699 25.258 -7.216 3.562
OBS: 55769.3 z NULL  -9.425 8.566 nan -0.987
OBS: 55775.3 z NULL  1.513 6.744 -5.450 4.838
OBS: 55778.3 z NULL  33.965 16.303 -8.828 0.521
OBS: 55790.3 z NULL  -2.275 10.860 nan -5.183
OBS: 55793.3 z NULL  8.210 9.847 -7.286 1.302
OBS: 55796.3 z NULL  10.918 10.571 -7.595 1.051
OBS: 55799.2 z NULL  -9.816 12.439 nan -1.376
OBS: 55802.2 z NULL  -1.018 22.500 nan -23.997
OBS: 55805.2 z NULL  -23.415 18.267 nan -0.847
OBS: 56046.6 z NULL  6.581 21.734 -7.046 3.586
OBS: 56054.5 z NULL  -47.847 23.240 nan -0.527
OBS: 56056.5 z NULL  -2.635 15.605 nan -6.429
OBS: 56058.5 z NULL  35.908 23.240 -8.888 0.703
OBS: 56061.5 z NULL  -21.346 10.130 nan -0.515
OBS: 56064.5 z NULL  -14.851 20.550 nan -1.502
OBS: 56067.5 z NULL  23.041 14.273 -8.406 0.673
OBS: 56072.4 z NULL  18.555 14.358 -8.171 0.840
OBS: 56075.5 z NULL  -26.513 29.852 nan -1.222
OBS: 56085.4 z NULL  34.390 15.073 -8.841 0.476
OBS: 56090.3 z NULL  -13.223 10.561 nan -0.867
OBS: 56093.3 z NULL  1.527 11.425 -5.459 8.126
OBS: 56137.3 z NULL  -3.473 13.988 nan -4.373
OBS: 56141.3 z NULL  15.192 24.239 -7.954 1.732
OBS: 56400.6 z NULL  4.443 29.461 -6.619 7.199
OBS: 56410.5 z NULL  -26.819 27.233 nan -1.103
OBS: 56412.5 z NULL  17.506 18.207 -8.108 1.129
OBS: 56415.5 z NULL  -30.215 15.742 nan -0.566
OBS: 56421.5 z NULL  -10.470 9.695 nan -1.005
OBS: 56429.4 z NULL  4.237 16.314 -6.568 4.181
OBS: 56437.5 z NULL  79.095 110.909 -9.745 1.522
OBS: 56442.5 z NULL  13.389 14.614 -7.817 1.185
OBS: 56453.5 z NULL  -0.290 17.557 nan -65.847
OBS: 56459.3 z NULL  17.536 13.682 -8.110 0.847
OBS: 56461.5 z NULL  64.291 12.419 -9.520 0.210
OBS: 56463.3 z NULL  80.435 11.373 -9.764 0.154
OBS: 56466.4 z NULL  77.131 43.103 -9.718 0.607
OBS: 56469.5 z NULL  130.895 13.759 -10.292 0.114
OBS: 56471.4 z NULL  154.163 24.087 -10.470 0.170
OBS: 56474.4 z NULL  139.400 11.298 -10.361 0.088
OBS: 56477.3 z NULL  146.275 10.037 -10.413 0.074
OBS: 56480.4 z NULL  145.066 13.197 -10.404 0.099
OBS: 56482.3 z NULL  133.262 16.469 -10.312 0.134
OBS: 56485.3 z NULL  177.307 27.396 -10.622 0.168
OBS: 56488.3 z NULL  127.187 11.860 -10.261 0.101
OBS: 56490.3 z NULL  115.894 12.782 -10.160 0.120
OBS: 56492.4 z NULL  115.845 9.908 -10.160 0.093
OBS: 56498.4 z NULL  116.913 18.578 -10.170 0.173
OBS: 56506.3 z NULL  78.870 12.517 -9.742 0.172
OBS: 56511.3 z NULL  90.283 11.927 -9.889 0.143
OBS: 56517.3 z NULL  58.288 14.149 -9.414 0.264
OBS: 56519.3 z NULL  82.075 13.722 -9.786 0.182
OBS: 56525.3 z NULL  69.147 13.251 -9.599 0.208
OBS: 56541.3 z NULL  57.084 36.811 -9.391 0.700
END:
