objid   iau      type     field   amp   ra             dec             spectel                                          specdate                                                      snz      sndz    galz      galdz    mwebv
g005    2004fh   Ia       waa2     13   23:28:27.197   -08:36:55.071   Keck+LRIS                                        2004-10-18.502                                                0.220    0.006   ---       ---      0.02759   
g009    ---      Gal      wbb4     13   01:14:28.998   +00:16:56.247   Gemini+GMOS,Magellan+LDSS2                       2004-10-21.272,2004-11-11.119                                 ---      ---     0.1831    0.0003   0.02991   
g014    ---      Gal      wbb1      6   01:13:18.202   +00:57:00.728   Magellan+LDSS2                                   2004-11-11.075                                                ---      ---     0.1949    0.0003   0.02787   
g043    2004fj   IIP      wbb6     16   01:09:51.075   +00:27:20.934   Keck+LRIS                                        2004-10-18.566                                                0.190    0.002   0.1874    0.0008   0.02529   
g046    ---      Gal      wcc9     14   02:05:34.300   -04:46:30.968   Magellan+LDSS2                                   2004-12-17.177                                                ---      ---     0.1833    0.0002   0.02507   
g050    2004fn   Ia       waa7     10   23:30:20.114   -09:58:30.698   Gemini+GMOS                                      2004-10-21.158                                                0.616    0.008   0.6045    0.0003   0.02444   
g052    2004fm   Ia       waa8      7   23:26:58.138   -09:37:19.346   Keck+LRIS                                        2004-10-18.393                                                0.381    0.007   ---       ---      0.03110   
g053    2004fl   Ia?      waa8      7   23:26:57.910   -09:37:18.984   Keck+LRIS                                        2004-10-18.393                                                ---      ---     0.6329    0.0022   0.03110   
g055    2004fk   Ia       wbb7      7   01:13:35.842   -00:09:27.500   Gemini+GMOS                                      2004-10-17.373                                                0.302    0.006   0.2964    0.0004   0.02823   
g097    ---      Ia       waa8     16   23:27:37.164   -09:35:21.041   Magellan+LDSS2                                   2004-11-03.055                                                0.339    0.004   0.3434    0.0002   0.03130   
g108    2004fp   IIP      wdd8      4   02:29:53.012   -09:01:16.554   Gemini+GMOS                                      2004-10-17.489                                                0.162    0.004   ---       ---      0.03378   
g120    2004fo   Ia       wbb1      1   01:13:28.975   +00:35:16.179   Keck+LRIS                                        2004-10-18.528                                                0.507    0.004   ---       ---      0.02854   
g128    ---      II?      waa2      5   23:26:43.669   -08:37:31.458   Gemini+GMOS                                      2004-11-10.271                                                ---      ---     0.1642    0.0006   0.02539   
g133    ---      Ia       wcc4      7   02:09:49.626   -04:10:55.064   Gemini+GMOS                                      2004-11-09.428                                                0.422    0.003   ---       ---      0.02434   
g142    ---      Ia       waa2     11   23:28:37.713   -08:45:03.948   Magellan+LDSS2                                   2004-11-06.028                                                0.398    0.013   0.4033    0.0001   0.02842   
g151    2004fq   Ic       waa2     14   23:27:45.638   -08:31:12.785   Keck+LRIS                                        2004-10-18.443                                                0.455    0.003   0.1462    0.0004   0.02689   
g160    2004fs   Ia       wdd8     15   02:31:19.943   -08:49:21.751   Gemini+GMOS                                      2004-10-19.535                                                0.507    0.019   ---       ---      0.02952   
g166    2004fr   Gal      wdd9     14   02:28:43.772   -08:54:24.030   Keck+LRIS                                        2004-10-18.593                                                ---      ---     0.2016    0.0007   0.02988   
g181    ---      Unk      wdd9      2   02:28:35.984   -09:13:43.261   Magellan+LDSS2                                   2004-11-11.154                                                ---      ---     0.5324    0.0002   0.02629   
g185    ---      II       waa2      1   23:26:56.854   -08:55:12.970   Keck+LRIS                                        2004-10-18.448                                                0.345    0.007   ---       ---      0.03440   
g199    2004ft   Gal      wdd4      7   02:33:32.622   -08:09:34.178   Keck+LRIS                                        2004-10-18.621                                                ---      ---     0.7665    0.0002   0.03713   
g204    ---      Unk      wcc2     13   02:08:26.690   -03:44:44.620   Magellan+LDSS2                                   2004-11-11.099                                                ---      ---     0.1114    0.0001   0.02356   
g213    ---      Gal      wbb8      6   01:11:54.176   -00:13:45.690   Gemini+GMOS                                      2004-11-11.197                                                ---      ---     0.8423    0.0002   0.02886   
g219    ---      II?      wbb9     10   01:10:27.165   -00:39:11.615   Gemini+GMOS                                      2004-11-19.090                                                ---      ---     ---       ---      0.03111   
g225    ---      Ia       waa5      2   23:27:15.685   -09:27:59.728   Gemini+GMOS                                      2004-11-08.282                                                0.579    0.009   ---       ---      0.03504   
g230    ---      Ia       wbb5      3   01:11:56.314   +00:07:27.441   Keck+LRIS                                        2004-11-14.313                                                ---      ---     0.3934    0.0001   0.03077   
g240    ---      Ia       waa1     14   23:30:41.823   -08:34:10.893   Keck+LRIS                                        2004-11-14.276                                                0.696    0.007   ---       ---      0.02974   
g276    ---      Gal      wcc1      7   02:09:17.715   -03:35:43.709   Magellan+LDSS2                                   2004-12-16.152                                                ---      ---     0.2442    0.0002   0.02597   
h280    ---      II       wbb6     10   01:09:28.330   -00:01:22.880   Keck+LRIS                                        2004-11-14.296                                                ---      ---     0.2633    0.0005   0.03395   
h283    2004ha   Ia       wcc9      5   02:04:27.005   -04:52:46.192   Keck+LRIS                                        2004-11-14.335                                                0.498    0.008   ---       ---      0.02678   
h293    ---      Unk      wcc9      2   02:05:11.580   -05:09:04.692   Keck+LRIS                                        2004-11-14.360                                                ---      ---     0.5462    0.0001   0.02479   
h296    ---      Gal      wdd6     12   02:28:45.533   -08:27:36.835   Magellan+LDSS2                                   2004-11-11.057                                                ---      ---     0.0590    0.0003   0.03198   
h299    2004hb   Gal      wcc8     15   02:08:09.708   -04:41:51.880   Gemini+GMOS                                      2004-11-11.366                                                ---      ---     0.7186    0.0002   0.02098   
h300    ---      Ia       wdd8     15   02:31:40.680   -08:49:03.377   Keck+LRIS                                        2004-11-14.532                                                0.657    0.003   ---       ---      0.02939   
h304    ---      Gal      wcc1      2   02:09:10.894   -03:58:00.789   Magellan+IMACS                                   2004-12-01.083                                                ---      ---     ---       ---      0.02352   
h311    2004hc   Ia       waa3      4   23:24:32.664   -08:41:03.574   Keck+LRIS                                        2004-11-14.249                                                0.752    0.003   ---       ---      0.04188   
h317    ---      Gal      wcc8     10   02:08:21.585   -05:05:09.208   Magellan+LDSS3                                   2005-10-07.192                                                ---      ---     0.6377    0.0001   0.02130   
h319    2004hd   Ia       wcc5     11   02:08:48.217   -04:26:10.319   Gemini+GMOS                                      2004-11-18.233                                                0.478    0.002   0.4903    0.0002   0.02047   
h323    2004he   Ia       wdd6     13   02:29:48.797   -08:20:45.875   Gemini+GMOS                                      2004-11-17.199                                                0.603    0.007   0.5978    0.0003   0.03481   
h336    ---      Gal      waa3      7   23:24:56.441   -08:28:40.498   VLT+FORS1                                        2005-10-06.130                                                ---      ---     0.3916    0.0005   0.03609   
h342    2004hf   Ia       wdd5      9   02:32:00.143   -08:42:23.852   Magellan+IMACS                                   2004-12-03.155                                                0.421    0.005   ---       ---      0.02867   
h345    2004hg   Unk      wdd4     10   02:34:55.193   -08:30:43.591   Magellan+IMACS                                   2004-12-02.138                                                ---      ---     ---       ---      0.03145   
h352    ---      Gal      wcc4     13   02:10:48.002   -04:17:54.131   Magellan+LDSS2                                   2004-12-16.080                                                ---      ---     0.1807    0.0002   0.02172   
h353    ---      Gal      waa2     15   23:28:14.068   -08:26:54.628   Magellan+LDSS2                                   2004-12-16.058                                                ---      ---     0.2196    0.0002   0.02513   
h359    2004hi   Ia       wcc8     10   02:08:38.835   -05:08:11.825   Magellan+LDSS2                                   2004-12-17.092                                                0.347    0.005   ---       ---      0.02095   
h361    ---      Unk      wcc7     13   02:11:14.030   -04:53:40.148   ---                                              ---                                                           ---      ---     ---       ---      0.02149   
h363    2004hh   Ia       wcc9     16   02:06:25.028   -04:38:04.035   Magellan+IMACS                                   2004-12-03.084                                                0.211    0.006   ---       ---      0.02475   
h364    2004hj   Ia       wdd9     16   02:29:41.943   -08:43:49.480   Magellan+IMACS                                   2004-12-01.121                                                0.344    0.003   ---       ---      0.03400   
