Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
PTF11qcj  R   38.51300 55868.51300 17.703    0.025 20.590   5236.0   122.1 
PTF11qcj  R   38.51700 55868.51700 17.744    0.023 20.729   5041.5   107.5 
PTF11qcj  R   43.50000 55873.50000 18.087    0.049 20.260   3675.4   165.5 
PTF11qcj  R   43.54300 55873.54300 18.109    0.028 20.888   3600.7    92.8 
PTF11qcj  R   44.49700 55874.49700 18.036    0.070 19.812   3852.4   250.0 
PTF11qcj  R   44.49900 55874.49900 17.990    0.054 20.065   4016.8   198.1 
PTF11qcj  R   50.48000 55880.48000 18.508    0.057 20.519   2493.5   130.4 
PTF11qcj  R   50.48200 55880.48200 18.527    0.055 20.568   2450.8   124.7 
PTF11qcj  R   51.47800 55881.47800 18.579    0.061 20.520   2335.7   130.3 
PTF11qcj  R   51.48000 55881.48000 18.445    0.042 20.772   2643.4   103.3 
PTF11qcj  R   52.47400 55882.47400 18.645    0.055 20.686   2197.6   111.8 
PTF11qcj  R   52.47800 55882.47800 18.674    0.056 20.692   2139.0   111.2 
PTF11qcj  R   53.47300 55883.47300 18.610    0.069 20.411   2270.2   144.1 
PTF11qcj  R   53.47600 55883.47600 18.629    0.057 20.631   2231.3   117.6 
PTF11qcj  R   57.46300 55887.46300 18.908    0.056 20.936   1725.0    88.8 
PTF11qcj  R   57.46600 55887.46600 18.999    0.060 20.947   1586.9    87.9 
PTF11qcj  R   58.45900 55888.45900 18.876    0.105 20.222   1776.2   171.4 
PTF11qcj  R   58.46000 55888.46000 19.381    0.226 19.890   1115.8   232.7 
PTF11qcj  R   59.45700 55889.45700 18.891    0.056 20.908   1752.1    91.1 
PTF11qcj  R   61.45100 55891.45100 18.970    0.093 20.442   1629.3   140.0 
PTF11qcj  R   61.49500 55891.49500 18.958    0.078 20.618   1646.7   119.0 
PTF11qcj  R   62.44900 55892.44900 19.140    0.080 20.778   1393.6   102.7 
PTF11qcj  R   62.46300 55892.46300 18.711    0.072 20.469   2068.7   136.5 
PTF11qcj  R   63.45300 55893.45300 18.975    0.074 20.700   1622.4   110.4 
PTF11qcj  R   65.44000 55895.44000 19.228    0.060 21.171   1284.3    71.5 
PTF11qcj  R   65.48200 55895.48200 19.095    0.050 21.236   1452.7    67.4 
PTF11qcj  R   68.43200 55898.43200 19.065    0.090 20.577   1493.4   123.6 
PTF11qcj  R   69.47300 55899.47300 19.249    0.099 20.662   1259.8   114.3 
PTF11qcj  R   71.47200 55901.47200 19.264    0.100 20.665   1242.5   114.0 
PTF11qcj  R   72.42000 55902.42000 19.210    0.118 20.425   1306.4   142.2 
PTF11qcj  R   72.42300 55902.42300 19.704    0.230 20.194    828.9   175.9 
PTF11qcj  R   73.41800 55903.41800 19.752    0.868 18.803    792.7   633.3 
PTF11qcj  R   74.41500 55904.41500 19.326    0.307 19.506   1174.2   331.4 
PTF11qcj  R   74.45900 55904.45900 19.394    0.191 20.089   1102.5   193.8 
PTF11qcj  R   75.45600 55905.45600 19.196    0.143 20.204   1323.6   174.3 
PTF11qcj  R   76.41000 55906.41000 19.068    0.190 19.768   1488.6   260.4 
PTF11qcj  R   76.45300 55906.45300 19.562    0.170 20.382    944.7   148.0 
PTF11qcj  R   86.38600 55916.38600 19.875    0.158 20.777    708.1   102.8 
PTF11qcj  R   86.43100 55916.43100 19.730    0.108 21.047    809.0    80.2 
PTF11qcj  R   88.38900 55918.38900 20.178    0.318 20.319    535.6   156.8 
PTF11qcj  R   88.43700 55918.43700 19.729    0.172 20.539    810.0   128.0 
PTF11qcj  R   92.38000 55922.38000 20.195    0.131 21.302    527.3    63.4 
PTF11qcj  R   92.42400 55922.42400 20.088    0.119 21.292    582.0    64.0 
PTF11qcj  R   93.36300 55923.36300 19.632    0.108 20.947    885.5    87.9 
PTF11qcj  R   93.40700 55923.40700 19.819    0.167 20.662    745.5   114.3 
PTF11qcj  R   94.36100 55924.36100 20.090    0.163 20.960    580.7    86.9 
PTF11qcj  R   94.40400 55924.40400 20.103    0.122 21.283    573.9    64.5 
PTF11qcj  R   95.35800 55925.35800 20.019    0.148 20.989    619.9    84.6 
PTF11qcj  R   95.40200 55925.40200 19.946    0.102 21.323    662.9    62.2 
PTF11qcj  R   96.35800 55926.35800 20.014    0.242 20.451    622.8   138.8 
PTF11qcj  R   96.40200 55926.40200 20.085    0.176 20.867    583.6    94.6 
PTF11qcj  R   98.35000 55928.35000 20.042    0.198 20.697    607.2   110.7 
PTF11qcj  R   98.39400 55928.39400 19.862    0.128 20.993    716.8    84.3 
PTF11qcj  R   99.34700 55929.34700 20.479    0.287 20.732    405.9   107.2 
PTF11qcj  R   99.39000 55929.39000 20.058    0.167 20.899    598.4    91.9 
PTF11qcj  R  100.34500 55930.34500 19.829    0.207 20.438    738.8   140.5 
PTF11qcj  R  100.39000 55930.39000 20.118    0.228 20.622    565.9   118.6 
PTF11qcj  R  101.39200 55931.39200 20.038    0.549 19.586    609.2   307.9 
PTF11qcj  R  102.33800 55932.33800 20.579    0.512 20.201    370.2   174.7 
PTF11qcj  R  102.34000 55932.34000 19.999    0.233 20.480    631.5   135.2 
PTF11qcj  R  106.32800 55936.32800 19.987    0.283 20.253    638.6   166.6 
PTF11qcj  R  106.37100 55936.37100 21.828    2.248 19.845    117.2   242.6 
PTF11qcj  R  107.32600 55937.32600 18.895    0.345 18.946   1745.4   555.0 
PTF11qcj  R  107.32700 55937.32700 20.731    1.641 19.090    321.8   486.4 
PTF11qcj  R  109.31900 55939.31900 19.651    0.236 20.114    870.0   189.3 
PTF11qcj  R  111.35800 55941.35800 20.167    0.318 20.308    541.1   158.3 
PTF11qcj  R  113.30900 55943.30900 20.825    0.616 20.248    295.1   167.4 
PTF11qcj  R  114.30600 55944.30600 21.319    0.976 20.242    187.3   168.3 
PTF11qcj  R  114.34900 55944.34900 20.726    1.079 19.540    323.4   321.2 
PTF11qcj  R  116.30000 55946.30000 21.033    0.410 20.899    243.7    91.9 
PTF11qcj  R  118.43500 55948.43500 20.395    0.185 21.124    438.4    74.7 
PTF11qcj  R  119.29200 55949.29200 21.100    0.720 20.354    229.1   151.8 
PTF11qcj  R  121.41300 55951.41300 20.247    0.253 20.635    502.5   117.2 
PTF11qcj  R  122.31400 55952.31400 20.651    0.235 21.121    346.3    74.9 
PTF11qcj  R  122.36100 55952.36100 20.733    0.208 21.333    321.1    61.6 
PTF11qcj  R  123.28100 55953.28100 21.028    0.451 20.790    244.8   101.6 
PTF11qcj  R  123.32500 55953.32500 20.557    0.243 20.987    377.9    84.7 
PTF11qcj  R  124.28000 55954.28000 20.559    0.472 20.271    377.2   163.8 
PTF11qcj  R  124.32400 55954.32400 82.240   -1.283 20.387   -124.7   147.3 
PTF11qcj  R  128.26800 55958.26800 21.387    0.615 20.813    175.8    99.5 
PTF11qcj  R  128.31100 55958.31100 21.452    0.509 21.083    165.7    77.6 
PTF11qcj  R  129.26500 55959.26500 20.612    0.452 20.371    359.1   149.5 
PTF11qcj  R  129.30900 55959.30900 20.224    0.279 20.507    513.5   131.8 
PTF11qcj  R  130.26400 55960.26400 21.013    1.057 19.849    248.3   241.7 
PTF11qcj  R  130.30800 55960.30800 79.573  -12.606 20.572    -10.7   124.2 
PTF11qcj  R  131.33300 55961.33300 21.027    0.522 20.630    245.1   117.7 
PTF11qcj  R  132.25700 55962.25700 20.268    0.409 20.135    492.9   185.7 
PTF11qcj  R  132.27200 55962.27200 20.497    0.302 20.696    399.1   110.8 
PTF11qcj  R  133.33200 55963.33200 21.065    0.934 20.036    236.5   203.5 
PTF11qcj  R  133.37700 55963.37700 21.182    1.006 20.072    212.5   196.8 
PTF11qcj  R  138.24000 55968.24000 21.607    1.497 20.066    143.6   197.9 
PTF11qcj  R  145.22400 55975.22400 23.051    2.704 20.867     38.0    94.6 
PTF11qcj  R  145.26800 55975.26800 21.250    0.345 21.302    199.6    63.4 
PTF11qcj  R  146.22200 55976.22200 21.286    0.776 20.457    193.1   138.0 
PTF11qcj  R  146.26500 55976.26500 22.101    2.763 19.894     91.1   231.8 
PTF11qcj  R  147.47000 55977.47000 21.013    0.273 21.321    248.1    62.3 
PTF11qcj  R  147.51500 55977.51500 21.863    0.714 21.125    113.5    74.6 
PTF11qcj  R  148.45700 55978.45700 21.308    0.434 21.112    189.1    75.5 
PTF11qcj  R  148.50500 55978.50500 20.841    0.280 21.120    290.9    75.0 
PTF11qcj  R  149.43500 55979.43500 21.757    0.541 21.321    125.1    62.3 
PTF11qcj  R  149.49800 55979.49800 21.322    0.421 21.156    186.8    72.5 
PTF11qcj  R  151.20800 55981.20800 21.248    0.497 20.905    199.9    91.4 
PTF11qcj  R  151.25100 55981.25100 20.684    0.292 20.918    336.1    90.3 
PTF11qcj  R  152.20200 55982.20200 20.891    0.234 21.365    277.8    59.8 
PTF11qcj  R  152.24600 55982.24600 20.928    0.306 21.111    268.4    75.6 
PTF11qcj  R  153.23500 55983.23500 79.563  -10.645 20.766    -10.6   103.9 
PTF11qcj  R  153.27800 55983.27800 20.975    0.332 21.067    257.1    78.7 
PTF11qcj  R  156.45200 55986.45200 22.400    4.725 19.610     69.2   301.1 
PTF11qcj  R  156.49500 55986.49500 80.311   -9.131 20.185    -21.1   177.4 
PTF11qcj  R  158.47300 55988.47300 21.545    0.630 20.944    152.1    88.2 
PTF11qcj  R  158.51700 55988.51700 20.660    0.303 20.855    343.4    95.7 
PTF11qcj  R  159.41900 55989.41900 80.400   -4.880 20.776    -22.9   102.9 
PTF11qcj  R  160.36400 55990.36400 21.886    1.140 20.640    111.1   116.6 
PTF11qcj  R  160.40800 55990.40800 21.796    0.732 21.031    120.7    81.4 
PTF11qcj  R  161.31000 55991.31000 81.655   -1.824 20.589    -72.8   122.3 
PTF11qcj  R  161.35400 55991.35400 20.300    0.520 19.906    478.8   229.3 
PTF11qcj  R  169.15600 55999.15600 78.831  -15.465 21.092     -5.4    76.9 
PTF11qcj  R  169.21000 55999.21000 21.742    0.555 21.278    126.8    64.8 
PTF11qcj  R  171.25000 56001.25000 22.175    0.815 21.293     85.1    63.9 
PTF11qcj  R  171.29400 56001.29400 22.808    1.395 21.344     47.5    61.0 
PTF11qcj  R  173.19700 56003.19700 79.594  -10.551 20.745    -10.9   105.9 
PTF11qcj  R  176.47700 56006.47700 20.628    0.221 21.162    353.7    72.1 
PTF11qcj  R  177.14000 56007.14000 21.322    0.763 20.513    186.7   131.1 
PTF11qcj  R  177.19600 56007.19600 82.245   -0.695 21.047   -125.3    80.2 
PTF11qcj  R  179.18800 56009.18800 23.258    1.366 21.816     31.4    39.5 
PTF11qcj  R  179.23200 56009.23200 23.045    1.342 21.622     38.2    47.2 
PTF11qcj  R  179.31800 56009.31800 23.458    1.951 21.629     26.1    46.9 
PTF11qcj  R  179.37500 56009.37500 22.149    0.782 21.312     87.2    62.8 
PTF11qcj  R  180.26400 56010.26400 81.944   -0.693 21.351    -95.0    60.6 
PTF11qcj  R  180.26600 56010.26600 22.564    1.093 21.364     59.5    59.9 
PTF11qcj  R  181.15100 56011.15100 21.664    0.717 20.922    136.3    90.0 
PTF11qcj  R  181.15200 56011.15200 21.599    0.693 20.894    144.7    92.3 
PTF11qcj  R  181.31600 56011.31600 22.030    0.704 21.307     97.3    63.1 
PTF11qcj  R  181.49300 56011.49300 22.517    1.030 21.382     62.1    58.9 
PTF11qcj  R  183.32500 56013.32500 21.857    0.544 21.414    114.1    57.2 
PTF11qcj  R  183.47300 56013.47300 81.808   -0.736 21.421    -83.8    56.8 
PTF11qcj  R  184.20100 56014.20100 83.109   -0.556 20.426   -277.6   142.1 
PTF11qcj  R  184.29700 56014.29700 20.799    0.324 20.918    302.3    90.3 
PTF11qcj  R  184.36200 56014.36200 21.818    0.833 20.913    118.2    90.7 
PTF11qcj  R  186.13700 56016.13700 81.484   -1.416 21.035    -62.2    81.1 
PTF11qcj  R  186.20200 56016.20200 81.672   -1.386 20.871    -73.9    94.3 
PTF11qcj  R  186.26400 56016.26400 22.491    1.054 21.331     63.6    61.7 
PTF11qcj  R  187.16800 56017.16800 21.992    0.729 21.232    100.7    67.6 
PTF11qcj  R  187.21600 56017.21600 79.940   -4.684 21.280    -15.0    64.7 
PTF11qcj  R  187.24600 56017.24600 22.624    1.128 21.389     56.3    58.5 
PTF11qcj  R  187.35300 56017.35300 25.253    7.993 21.893      5.0    36.8 
PTF11qcj  R  187.38500 56017.38500 78.633   -7.819 22.031     -4.5    32.4 
PTF11qcj  R  187.41700 56017.41700 23.017    1.141 21.770     39.2    41.2 
PTF11qcj  R  189.32100 56019.32100 82.595   -0.775 20.579   -173.0   123.4 
PTF11qcj  R  189.41700 56019.41700 21.301    0.922 20.287    190.3   161.5 
PTF11qcj  R  189.52200 56019.52200 79.173  -15.718 20.733     -7.4   107.1 
PTF11qcj  R  190.43100 56020.43100 23.121    2.120 21.202     35.6    69.5 
PTF11qcj  R  190.46400 56020.46400 82.342   -0.403 21.543   -137.0    50.8 
PTF11qcj  R  190.47000 56020.47000 80.582   -2.344 21.389    -27.1    58.5 
PTF11qcj  R  190.50400 56020.50400 82.969   -0.227 21.538   -244.2    51.0 
PTF11qcj  R  190.51700 56020.51700 22.665    2.232 20.690     54.2   111.4 
PTF11qcj  R  191.14200 56021.14200 82.222   -0.647 21.147   -122.7    73.1 
PTF11qcj  R  191.17300 56021.17300 80.923   -1.484 21.545    -37.1    50.7 
PTF11qcj  R  191.20600 56021.20600 81.509   -1.159 21.228    -63.6    67.9 
PTF11qcj  R  191.48300 56021.48300 23.892   13.473 19.966     17.5   217.1 
PTF11qcj  R  191.51300 56021.51300 21.499    0.862 20.557    158.7   125.9 
PTF11qcj  R  192.20300 56022.20300 81.343   -2.711 20.471    -54.6   136.3 
PTF11qcj  R  192.23200 56022.23200 22.853    2.944 20.577     45.6   123.6 
PTF11qcj  R  193.15000 56023.15000 24.842   55.728 19.373      7.3   374.6 
PTF11qcj  R  193.17800 56023.17800 22.817    8.139 19.438     47.1   353.0 
PTF11qcj  R  193.20700 56023.20700 19.913    0.449 19.679    683.5   282.7 
PTF11qcj  R  193.37300 56023.37300 20.441    0.477 20.140    420.4   184.8 
PTF11qcj  R  193.41400 56023.41400 83.691   -0.486 19.990   -474.5   212.2 
PTF11qcj  R  193.48800 56023.48800 79.603  -22.283 19.923    -11.0   225.7 
PTF11qcj  R  194.22000 56024.22000 22.411    3.215 20.040     68.5   202.8 
PTF11qcj  R  194.25000 56024.25000 22.965    3.739 20.430     41.1   141.5 
PTF11qcj  R  194.27900 56024.27900 82.533   -1.217 20.150   -163.4   183.1 
PTF11qcj  R  195.18200 56025.18200 23.034    4.001 20.425     38.6   142.2 
PTF11qcj  R  195.25900 56025.25900 21.745    1.020 20.620    126.5   118.8 
PTF11qcj  R  195.29700 56025.29700 23.582    4.931 20.746     23.3   105.8 
PTF11qcj  R  195.32200 56025.32200 82.520   -0.517 21.092   -161.4    76.9 
PTF11qcj  R  195.35200 56025.35200 82.029   -0.584 21.452   -102.7    55.2 
PTF11qcj  R  195.38300 56025.38300 80.860   -2.011 21.278    -35.0    64.8 
PTF11qcj  R  196.25700 56026.25700 81.691   -0.965 21.245    -75.2    66.8 
PTF11qcj  R  196.30800 56026.30800 21.511    0.491 21.179    156.9    71.0 
PTF11qcj  R  196.33700 56026.33700 83.059   -0.391 20.856   -265.2    95.6 
PTF11qcj  R  197.24800 56027.24800 22.963    1.603 21.347     41.2    60.8 
PTF11qcj  R  197.28300 56027.28300 20.535    0.218 21.087    385.4    77.3 
PTF11qcj  R  197.31200 56027.31200 23.990    4.629 21.223     16.0    68.2 
PTF11qcj  R  197.32600 56027.32600 79.976   -3.041 21.713    -15.5    43.4 
PTF11qcj  R  197.36000 56027.36000 81.372   -0.811 21.752    -56.1    41.9 
PTF11qcj  R  197.39100 56027.39100 82.930   -0.207 21.674   -235.6    45.0 
PTF11qcj  R  203.14400 56033.14400 82.321   -0.469 21.399   -134.4    58.0 
PTF11qcj  R  203.17500 56033.17500 22.693    1.043 21.545     52.8    50.7 
PTF11qcj  R  203.28800 56033.28800 22.687    0.976 21.611     53.1    47.7 
PTF11qcj  R  205.29800 56035.29800 22.555    1.055 21.393     60.0    58.3 
PTF11qcj  R  205.39500 56035.39500 24.556    5.796 21.545      9.5    50.7 
PTF11qcj  R  205.42500 56035.42500 22.298    0.667 21.634     76.0    46.7 
PTF11qcj  R  206.38200 56036.38200 79.511   -8.710 21.036    -10.1    81.0 
PTF11qcj  R  206.40800 56036.40800 82.037   -0.486 21.643   -103.5    46.3 
PTF11qcj  R  206.42400 56036.42400 23.034    2.152 21.098     38.6    76.5 
PTF11qcj  R  206.44200 56036.44200 82.228   -0.453 21.528   -123.4    51.5 
PTF11qcj  R  206.45500 56036.45500 81.429   -1.266 21.212    -59.1    68.9 
PTF11qcj  R  206.47600 56036.47600 22.108    1.307 20.715     90.5   108.9 
PTF11qcj  R  207.38000 56037.38000 23.100    1.813 21.351     36.3    60.6 
PTF11qcj  R  207.41100 56037.41100 22.714    1.231 21.386     51.8    58.7 
PTF11qcj  R  207.44000 56037.44000 80.150   -4.177 21.194    -18.2    70.0 
PTF11qcj  R  208.34200 56038.34200 22.209    0.505 21.846     82.5    38.4 
PTF11qcj  R  208.37200 56038.37200 22.750    0.880 21.786     50.1    40.6 
PTF11qcj  R  208.39200 56038.39200 82.614   -0.217 21.941   -176.0    35.2 
PTF11qcj  R  208.40100 56038.40100 25.297    8.530 21.866      4.8    37.7 
PTF11qcj  R  208.42800 56038.42800 82.176   -0.344 21.878   -117.6    37.3 
PTF11qcj  R  208.45900 56038.45900 80.903   -0.976 22.021    -36.4    32.7 
PTF11qcj  R  209.34900 56039.34900 81.884   -0.483 21.802    -89.9    40.0 
PTF11qcj  R  209.37800 56039.37800 22.663    0.814 21.783     54.3    40.7 
PTF11qcj  R  210.31400 56040.31400 23.501    1.562 21.913     25.1    36.1 
PTF11qcj  R  210.34400 56040.34400 80.274   -1.980 21.881    -20.4    37.2 
PTF11qcj  R  210.38000 56040.38000 23.540    1.746 21.832     24.2    38.9 
PTF11qcj  R  211.28400 56041.28400 80.926   -2.184 21.122    -37.2    74.8 
PTF11qcj  R  211.38000 56041.38000 80.897   -2.556 20.981    -36.2    85.2 
PTF11qcj  R  211.41100 56041.41100 22.729    1.539 21.158     51.1    72.4 
PTF11qcj  R  215.23700 56045.23700 80.197   -4.310 21.114    -19.0    75.4 
PTF11qcj  R  215.32700 56045.32700 22.400    0.981 21.317     69.2    62.5 
PTF11qcj  R  215.35900 56045.35900 21.378    0.429 21.193    177.3    70.1 
PTF11qcj  R  216.26100 56046.26100 82.347   -0.394 21.562   -137.6    49.9 
PTF11qcj  R  216.31800 56046.31800 82.253   -0.583 21.231   -126.2    67.7 
PTF11qcj  R  216.36200 56046.36200 22.744    1.317 21.342     50.4    61.1 
PTF11qcj  R  216.38500 56046.38500 81.750   -0.704 21.528    -79.4    51.5 
PTF11qcj  R  216.41500 56046.41500 82.513   -0.249 21.893   -160.4    36.8 
PTF11qcj  R  216.44700 56046.44700 82.228   -0.391 21.689   -123.4    44.4 
PTF11qcj  R  217.30500 56047.30500 22.401    1.080 21.215     69.1    68.7 
PTF11qcj  R  217.35600 56047.35600 21.708    0.573 21.209    130.9    69.1 
PTF11qcj  R  217.40200 56047.40200 23.679    2.294 21.674     21.3    45.0 
PTF11qcj  R  218.30400 56048.30400 82.632   -0.521 20.973   -178.9    85.8 
PTF11qcj  R  218.37200 56048.37200 81.936   -1.048 20.910    -94.3    91.0 
PTF11qcj  R  218.40200 56048.40200 22.425    2.919 20.159     67.6   181.7 
PTF11qcj  R  219.22100 56049.22100 81.423   -0.996 21.478    -58.8    53.9 
PTF11qcj  R  219.27100 56049.27100 82.328   -0.591 21.140   -135.3    73.6 
PTF11qcj  R  219.30100 56049.30100 81.925   -0.606 21.515    -93.3    52.1 
PTF11qcj  R  219.36100 56049.36100 21.803    1.207 20.495    119.9   133.3 
PTF11qcj  R  219.39200 56049.39200 22.704    1.925 20.889     52.3    92.7 
PTF11qcj  R  219.44000 56049.44000 21.585    1.338 20.166    146.5   180.5 
PTF11qcj  R  220.39400 56050.39400 21.335    1.146 20.084    184.5   194.7 
PTF11qcj  R  220.47000 56050.47000 82.111   -1.122 20.660   -110.8   114.5 
PTF11qcj  R  220.50000 56050.50000 20.165    0.419 20.006    541.8   209.2 
PTF11qcj  R  228.16400 56058.16400 78.851  -11.354 21.408     -5.5    57.5 
PTF11qcj  R  228.19500 56058.19500 22.223    0.776 21.395     81.4    58.2 
PTF11qcj  R  228.22600 56058.22600 21.836    0.600 21.287    116.3    64.3 
PTF11qcj  R  229.16100 56059.16100 22.285    0.960 21.226     76.9    68.0 
PTF11qcj  R  229.26600 56059.26600 21.740    0.529 21.328    127.0    61.9 
PTF11qcj  R  229.29700 56059.29700 79.652   -5.014 21.494    -11.5    53.1 
PTF11qcj  R  229.32400 56059.32400 81.799   -0.363 22.197    -83.1    27.8 
PTF11qcj  R  229.35400 56059.35400 81.011   -0.994 21.893    -40.2    36.8 
PTF11qcj  R  229.38300 56059.38300 82.685   -0.183 22.055   -188.0    31.7 
PTF11qcj  R  230.26900 56060.26900 22.334    0.689 21.636     73.5    46.6 
PTF11qcj  R  230.30900 56060.30900 23.367    1.690 21.694     28.4    44.2 
PTF11qcj  R  230.36600 56060.36600 21.906    0.656 21.262    109.0    65.8 
PTF11qcj  R  231.28700 56061.28700 82.165   -0.370 21.810   -116.4    39.7 
PTF11qcj  R  231.31500 56061.31500 81.786   -0.413 22.072    -82.1    31.2 
PTF11qcj  R  231.31600 56061.31600 22.569    1.058 21.404     59.2    57.7 
PTF11qcj  R  231.35600 56061.35600 81.526   -0.457 22.221    -64.6    27.2 
PTF11qcj  R  231.37800 56061.37800 22.264    0.895 21.282     78.4    64.6 
PTF11qcj  R  231.39100 56061.39100 82.739   -0.263 21.609   -197.6    47.8 
PTF11qcj  R  232.28300 56062.28300 22.298    0.839 21.386     76.0    58.7 
PTF11qcj  R  232.31200 56062.31200 82.512   -0.481 21.181   -160.2    70.9 
PTF11qcj  R  232.34200 56062.34200 81.940   -0.771 21.239    -94.6    67.2 
PTF11qcj  R  233.26500 56063.26500 24.533    6.997 21.317      9.7    62.5 
PTF11qcj  R  233.31300 56063.31300 24.437    5.912 21.404     10.6    57.7 
PTF11qcj  R  233.35900 56063.35900 82.137   -0.622 21.275   -113.5    65.0 
PTF11qcj  R  234.20300 56064.20300 81.648   -0.527 21.944    -72.3    35.1 
PTF11qcj  R  234.23400 56064.23400 82.565   -0.203 22.065   -168.2    31.4 
PTF11qcj  R  234.27200 56064.27200 80.578   -1.118 22.197    -27.0    27.8 
PTF11qcj  R  234.27600 56064.27600 78.890   -8.478 21.686     -5.7    44.5 
PTF11qcj  R  235.18500 56065.18500 22.759    1.385 21.302     49.7    63.4 
PTF11qcj  R  235.23900 56065.23900 22.297    1.000 21.193     76.1    70.1 
PTF11qcj  R  235.29100 56065.29100 21.787    0.695 21.078    121.7    77.9 
PTF11qcj  R  236.27200 56066.27200 23.017    2.092 21.112     39.2    75.5 
PTF11qcj  R  236.30500 56066.30500 22.277    0.888 21.302     77.5    63.4 
PTF11qcj  R  236.36000 56066.36000 81.912   -0.895 21.105    -92.2    76.0 
PTF11qcj  R  237.27800 56067.27800 22.843    0.994 21.746     46.0    42.1 
PTF11qcj  R  237.32500 56067.32500 79.467   -7.748 21.207     -9.7    69.2 
PTF11qcj  R  237.38100 56067.38100 81.133   -1.086 21.674    -45.0    45.0 
PTF11qcj  R  238.22600 56068.22600 82.239   -0.286 22.018   -124.6    32.8 
PTF11qcj  R  238.25600 56068.25600 82.025   -0.368 21.956   -102.3    34.7 
PTF11qcj  R  238.30300 56068.30300 81.331   -0.841 21.754    -54.0    41.8 
PTF11qcj  R  238.33300 56068.33300 23.079    1.233 21.749     37.0    42.0 
PTF11qcj  R  238.36300 56068.36300 79.563   -4.887 21.611    -10.6    47.7 
PTF11qcj  R  239.27700 56069.27700 81.066   -1.022 21.807    -42.3    39.8 
PTF11qcj  R  239.30700 56069.30700 79.918   -3.849 21.515    -14.7    52.1 
PTF11qcj  R  239.41000 56069.41000 24.437    7.315 21.173     10.6    71.4 
PTF11qcj  R  240.32000 56070.32000 78.981  -10.597 21.353     -6.2    60.5 
PTF11qcj  R  240.33400 56070.33400 82.677   -0.310 21.490   -186.6    53.3 
PTF11qcj  R  240.35200 56070.35200 22.204    0.907 21.207     82.9    69.2 
PTF11qcj  R  240.37800 56070.37800 83.097   -0.311 21.069   -274.7    78.6 
PTF11qcj  R  240.38700 56070.38700 22.667    1.584 21.065     54.1    78.9 
PTF11qcj  R  240.39700 56070.39700 81.849   -0.652 21.513    -87.0    52.2 
PTF11qcj  R  241.29200 56071.29200 81.596   -0.788 21.560    -68.9    50.0 
PTF11qcj  R  241.32500 56071.32500 22.546    1.436 21.049     60.5    80.0 
PTF11qcj  R  241.37300 56071.37300 21.555    0.460 21.293    150.7    63.9 
PTF11qcj  R  245.19300 56075.19300 23.217    2.605 21.074     32.6    78.2 
PTF11qcj  R  245.27500 56075.27500 81.940   -0.646 21.431    -94.6    56.3 
PTF11qcj  R  245.30900 56075.30900 81.013   -1.479 21.458    -40.3    54.9 
PTF11qcj  R  246.22200 56076.22200 81.053   -1.377 21.497    -41.8    53.0 
PTF11qcj  R  246.27300 56076.27300 82.529   -0.318 21.613   -162.8    47.6 
PTF11qcj  R  246.31900 56076.31900 22.184    0.584 21.665     84.4    45.4 
PTF11qcj  R  247.27100 56077.27100 24.166    5.318 21.249     13.6    66.6 
PTF11qcj  R  247.30200 56077.30200 21.178    0.411 21.041    213.2    80.6 
PTF11qcj  R  247.33100 56077.33100 81.646   -1.321 20.948    -72.2    87.8 
PTF11qcj  R  248.23300 56078.23300 20.668    0.254 21.052    341.0    79.8 
PTF11qcj  R  248.26400 56078.26400 23.862    5.768 20.856     18.0    95.6 
PTF11qcj  R  248.29300 56078.29300 21.575    0.715 20.836    147.9    97.4 
PTF11qcj  R  249.19400 56079.19400 22.044    1.084 20.854     96.0    95.8 
PTF11qcj  R  249.22400 56079.22400 82.017   -0.852 21.054   -101.6    79.7 
PTF11qcj  R  249.26100 56079.26100 22.669    1.577 21.071     54.0    78.4 
PTF11qcj  R  251.17100 56081.17100 21.152    0.425 20.979    218.4    85.4 
PTF11qcj  R  251.20400 56081.20400 82.346   -0.831 20.752   -137.5   105.2 
PTF11qcj  R  251.23600 56081.23600 81.947   -1.170 20.779    -95.2   102.6 
PTF11qcj  R  252.20000 56082.20000 22.742    3.054 20.426     50.5   142.0 
PTF11qcj  R  252.23000 56082.23000 21.621    0.947 20.577    141.8   123.6 
PTF11qcj  R  253.22600 56083.22600 22.524    1.818 20.772     61.7   103.3 
PTF11qcj  R  253.25500 56083.25500 77.440  -86.663 20.612     -1.5   119.7 
PTF11qcj  R  253.29200 56083.29200 81.280   -2.455 20.642    -51.5   116.4 
PTF11qcj  R  254.19900 56084.19900 22.194    1.125 20.963     83.6    86.6 
PTF11qcj  R  255.20300 56085.20300 81.559   -1.309 21.045    -66.6    80.3 
